   
      1  3.70    0.825
      1  3.50    1.090
      1  1.25    2.500
      1  0.75    1.500
      1  0.80    3.200
      1  0.70    3.500
      0  0.60    0.750
      0  1.10    1.700
      0  0.90    0.750
      0  0.90    0.450
      0  0.80    0.570
      0  0.55    2.750
      0  0.60    3.000
      1  1.40    2.330
      1  0.75    3.750
      1  2.30    1.640
      1  3.20    1.600
      1  0.85    1.415
      0  1.70    1.060
      1  1.80    1.800
      0  0.40    2.000
      0  0.95    1.360
      0  1.35    1.350
      0  1.50    1.360
      1  1.60    1.780
      0  0.60    1.500
      1  1.80    1.500
      0  0.95    1.900
      1  1.90    0.950
      0  1.60    0.400
      1  2.70    0.750
      0  2.35    0.030
      0  1.10    1.830
      1  1.10    2.200
      1  1.20    2.000
      1  0.80    3.330
      0  0.95    1.900
      0  0.75    1.900
      1  1.30    1.625
